,ecologie,economie,education,immigration,sante,securite_defense,date
1810,0,0,0,0,0,1,2022-01-03 07:30:07+00:00
1809,0,0,1,0,0,0,2022-01-03 07:33:36+00:00
1808,0,0,1,0,0,0,2022-01-03 07:36:24+00:00
1807,0,0,0,0,1,0,2022-01-03 07:41:12+00:00
1806,0,1,0,0,0,0,2022-01-03 07:42:14+00:00
1805,1,0,0,0,0,0,2022-01-03 07:43:20+00:00
1804,0,1,0,0,0,0,2022-01-03 07:45:24+00:00
1803,0,1,0,0,0,0,2022-01-03 07:49:03+00:00
1802,0,1,0,0,0,0,2022-01-03 07:51:25+00:00
1801,0,1,0,0,0,0,2022-01-03 07:51:56+00:00
1800,1,0,0,0,0,0,2022-01-03 07:54:29+00:00
1799,0,1,0,0,0,0,2022-01-03 07:55:32+00:00
1798,0,1,0,0,0,0,2022-01-03 07:58:03+00:00
1797,0,1,0,0,0,0,2022-01-03 07:59:14+00:00
1796,0,0,1,0,0,0,2022-01-03 08:02:42+00:00
1795,0,1,0,0,0,0,2022-01-03 08:06:05+00:00
1794,0,1,0,0,0,0,2022-01-03 08:07:54+00:00
1793,0,0,0,0,1,0,2022-01-03 08:08:43+00:00
1792,1,0,0,0,0,0,2022-01-03 08:12:25+00:00
1791,0,0,1,0,0,0,2022-01-03 08:14:13+00:00
1790,0,1,0,0,0,0,2022-01-03 08:16:56+00:00
1789,0,1,0,0,0,0,2022-01-03 08:23:54+00:00
1788,0,0,0,0,1,0,2022-01-03 08:27:57+00:00
1787,1,0,0,0,0,0,2022-01-03 08:29:47+00:00
1786,1,0,0,0,0,0,2022-01-03 08:32:21+00:00
1785,1,0,0,0,0,0,2022-01-03 08:33:03+00:00
1784,1,0,0,0,0,0,2022-01-03 08:37:04+00:00
1783,0,0,0,0,1,0,2022-01-03 08:37:33+00:00
1782,1,0,0,0,0,0,2022-01-03 08:44:46+00:00
1781,1,0,0,0,0,0,2022-01-03 09:00:27+00:00
1780,0,0,1,0,0,0,2022-01-03 09:06:22+00:00
1779,0,0,0,0,0,1,2022-01-03 09:15:52+00:00
1778,0,0,1,0,0,0,2022-01-03 14:27:26+00:00
1777,0,1,0,0,0,0,2022-01-03 14:30:24+00:00
1776,0,1,0,0,0,0,2022-01-03 14:30:52+00:00
1775,0,0,0,0,0,1,2022-01-03 14:31:42+00:00
1774,0,0,0,0,0,1,2022-01-03 14:33:28+00:00
1773,1,0,0,0,0,0,2022-01-03 14:34:21+00:00
1772,0,1,0,0,0,0,2022-01-03 14:35:44+00:00
1771,0,0,1,0,0,0,2022-01-03 14:36:52+00:00
1770,0,0,0,0,0,1,2022-01-03 14:38:04+00:00
1769,0,0,0,0,0,1,2022-01-03 14:40:13+00:00
1768,0,0,0,0,0,1,2022-01-03 14:41:20+00:00
1767,0,0,1,0,0,0,2022-01-03 14:42:59+00:00
1766,0,0,0,0,0,1,2022-01-03 14:46:02+00:00
1765,0,0,0,0,1,0,2022-01-04 09:16:19+00:00
1764,0,0,0,0,0,1,2022-01-04 09:17:26+00:00
1763,1,0,0,0,0,0,2022-01-04 09:18:13+00:00
1762,1,0,0,0,0,0,2022-01-04 09:19:37+00:00
1761,0,1,0,0,0,0,2022-01-04 09:21:25+00:00
1760,0,0,1,0,0,0,2022-01-04 09:23:07+00:00
1759,0,0,1,0,0,0,2022-01-04 09:24:01+00:00
1758,0,0,0,0,0,1,2022-01-05 11:24:03+00:00
1757,0,1,0,0,0,0,2022-01-05 11:27:56+00:00
1756,0,0,0,0,0,1,2022-01-05 11:28:36+00:00
1755,0,0,0,0,0,1,2022-01-05 11:30:57+00:00
1754,0,1,0,0,0,0,2022-01-05 11:32:18+00:00
1753,0,0,1,0,0,0,2022-01-05 11:34:12+00:00
1752,0,1,0,0,0,0,2022-01-05 11:36:49+00:00
1751,0,1,0,0,0,0,2022-01-05 17:39:47+00:00
1750,0,1,0,0,0,0,2022-01-06 09:07:54+00:00
1749,1,0,0,0,0,0,2022-01-06 16:03:23+00:00
1748,0,1,0,0,0,0,2022-01-06 18:13:12+00:00
1747,0,1,0,0,0,0,2022-01-06 19:34:01+00:00
1746,1,0,0,0,0,0,2022-01-07 12:06:04+00:00
1745,0,1,0,0,0,0,2022-01-08 15:17:47+00:00
1744,0,0,0,0,0,1,2022-01-09 11:06:10+00:00
1743,0,0,1,0,0,0,2022-01-09 11:08:04+00:00
1742,0,0,1,0,0,0,2022-01-09 11:08:59+00:00
1741,0,0,0,1,0,0,2022-01-09 11:11:40+00:00
1740,0,1,0,0,0,0,2022-01-09 11:15:32+00:00
1739,0,1,0,0,0,0,2022-01-09 11:19:09+00:00
1738,1,0,0,0,0,0,2022-01-09 11:20:44+00:00
1737,1,0,0,0,0,0,2022-01-09 11:20:45+00:00
1736,0,0,1,0,0,0,2022-01-09 11:22:05+00:00
1735,0,0,0,0,0,1,2022-01-09 11:22:43+00:00
1734,0,1,0,0,0,0,2022-01-09 11:24:29+00:00
1733,1,0,0,0,0,0,2022-01-09 11:25:24+00:00
1732,0,0,0,1,0,0,2022-01-09 11:30:34+00:00
1731,0,0,0,0,0,1,2022-01-09 11:34:48+00:00
1730,0,0,1,0,0,0,2022-01-09 11:37:42+00:00
1729,1,0,0,0,0,0,2022-01-09 11:39:01+00:00
1728,0,0,1,0,0,0,2022-01-09 11:40:36+00:00
1727,1,0,0,0,0,0,2022-01-09 11:45:20+00:00
1726,0,0,1,0,0,0,2022-01-09 11:46:08+00:00
1725,1,0,0,0,0,0,2022-01-09 11:47:35+00:00
1724,1,0,0,0,0,0,2022-01-09 11:48:14+00:00
1723,0,0,0,1,0,0,2022-01-09 11:49:52+00:00
1722,0,0,0,0,0,1,2022-01-09 11:50:40+00:00
1721,0,0,0,0,0,1,2022-01-09 11:51:26+00:00
1720,0,1,0,0,0,0,2022-01-09 11:55:17+00:00
1719,0,0,0,0,0,1,2022-01-09 11:56:19+00:00
1718,0,0,1,0,0,0,2022-01-09 11:56:28+00:00
1717,0,0,0,0,0,1,2022-01-09 12:00:15+00:00
1716,1,0,0,0,0,0,2022-01-09 12:06:19+00:00
1715,0,0,1,0,0,0,2022-01-09 12:11:33+00:00
1714,0,0,1,0,0,0,2022-01-09 12:18:55+00:00
1713,0,0,1,0,0,0,2022-01-09 12:22:57+00:00
1712,0,0,0,1,0,0,2022-01-09 12:31:02+00:00
1711,0,1,0,0,0,0,2022-01-09 12:32:59+00:00
1710,0,0,0,0,0,1,2022-01-09 12:36:34+00:00
1709,0,1,0,0,0,0,2022-01-09 12:41:08+00:00
1708,0,0,0,0,0,1,2022-01-09 12:43:08+00:00
1707,1,0,0,0,0,0,2022-01-09 12:47:52+00:00
1706,0,0,0,0,1,0,2022-01-09 20:09:18+00:00
1705,0,0,0,0,1,0,2022-01-10 11:14:03+00:00
1704,0,0,1,0,0,0,2022-01-10 12:23:29+00:00
1703,0,0,1,0,0,0,2022-01-10 14:08:02+00:00
1702,0,0,1,0,0,0,2022-01-10 14:14:37+00:00
1701,1,0,0,0,0,0,2022-01-10 14:16:20+00:00
1700,0,0,1,0,0,0,2022-01-10 14:19:52+00:00
1699,1,0,0,0,0,0,2022-01-10 14:21:13+00:00
1698,0,1,0,0,0,0,2022-01-10 14:24:35+00:00
1697,0,1,0,0,0,0,2022-01-10 14:25:31+00:00
1696,1,0,0,0,0,0,2022-01-10 14:30:13+00:00
1695,0,0,0,0,0,1,2022-01-10 14:31:31+00:00
1694,0,0,0,1,0,0,2022-01-10 14:44:34+00:00
1693,0,0,0,1,0,0,2022-01-10 14:45:52+00:00
1692,1,0,0,0,0,0,2022-01-10 14:47:26+00:00
1691,0,0,1,0,0,0,2022-01-11 07:56:26+00:00
1690,0,0,0,0,0,1,2022-01-11 10:33:05+00:00
1689,1,0,0,0,0,0,2022-01-12 08:30:55+00:00
1688,0,0,1,0,0,0,2022-01-12 09:54:36+00:00
1687,0,0,0,0,0,1,2022-01-12 11:42:40+00:00
1686,0,0,0,0,0,1,2022-01-12 13:10:53+00:00
1685,0,0,1,0,0,0,2022-01-12 13:16:33+00:00
1684,0,0,1,0,0,0,2022-01-12 13:18:33+00:00
1683,0,0,1,0,0,0,2022-01-12 13:19:51+00:00
1682,0,0,1,0,0,0,2022-01-12 13:22:28+00:00
1681,0,1,0,0,0,0,2022-01-12 16:12:44+00:00
1680,1,0,0,0,0,0,2022-01-12 17:43:52+00:00
1679,0,1,0,0,0,0,2022-01-12 17:54:16+00:00
1678,1,0,0,0,0,0,2022-01-12 17:57:34+00:00
1677,0,1,0,0,0,0,2022-01-12 17:58:45+00:00
1676,0,0,1,0,0,0,2022-01-12 17:59:58+00:00
1675,0,0,1,0,0,0,2022-01-12 18:05:51+00:00
1674,0,1,0,0,0,0,2022-01-12 18:07:07+00:00
1673,0,1,0,0,0,0,2022-01-12 18:13:10+00:00
1672,0,1,0,0,0,0,2022-01-12 18:16:56+00:00
1671,0,0,1,0,0,0,2022-01-12 18:20:05+00:00
1670,0,0,1,0,0,0,2022-01-12 18:20:44+00:00
1669,0,1,0,0,0,0,2022-01-12 18:22:53+00:00
1668,0,0,1,0,0,0,2022-01-12 18:30:56+00:00
1667,1,0,0,0,0,0,2022-01-12 18:42:40+00:00
1666,0,1,0,0,0,0,2022-01-12 18:46:43+00:00
1665,0,0,1,0,0,0,2022-01-12 18:50:13+00:00
1664,0,1,0,0,0,0,2022-01-12 18:57:29+00:00
1663,0,1,0,0,0,0,2022-01-13 08:38:23+00:00
1662,1,0,0,0,0,0,2022-01-13 09:10:38+00:00
1661,0,0,1,0,0,0,2022-01-13 09:12:48+00:00
1660,0,0,0,0,0,1,2022-01-13 09:18:11+00:00
1659,0,1,0,0,0,0,2022-01-13 09:21:27+00:00
1658,1,0,0,0,0,0,2022-01-13 09:24:07+00:00
1657,0,1,0,0,0,0,2022-01-13 09:50:16+00:00
1656,0,1,0,0,0,0,2022-01-13 10:18:16+00:00
1655,0,0,1,0,0,0,2022-01-13 10:28:40+00:00
1654,1,0,0,0,0,0,2022-01-13 10:31:18+00:00
1653,1,0,0,0,0,0,2022-01-13 10:32:50+00:00
1652,1,0,0,0,0,0,2022-01-13 10:34:56+00:00
1651,0,0,0,0,0,1,2022-01-13 11:18:01+00:00
1650,1,0,0,0,0,0,2022-01-13 12:47:18+00:00
1649,0,1,0,0,0,0,2022-01-13 14:21:25+00:00
1648,0,0,1,0,0,0,2022-01-13 15:30:39+00:00
1647,0,0,0,0,1,0,2022-01-13 16:02:19+00:00
1646,1,0,0,0,0,0,2022-01-13 17:28:50+00:00
1645,0,0,1,0,0,0,2022-01-13 18:34:33+00:00
1644,1,0,0,0,0,0,2022-01-13 19:19:19+00:00
1643,0,0,0,1,0,0,2022-01-13 19:21:13+00:00
1642,0,0,0,0,0,1,2022-01-13 19:37:10+00:00
1641,1,0,0,0,0,0,2022-01-13 19:42:01+00:00
1640,0,0,1,0,0,0,2022-01-13 19:44:41+00:00
1639,0,0,0,0,1,0,2022-01-13 20:09:35+00:00
1638,0,1,0,0,0,0,2022-01-13 20:24:24+00:00
1637,0,1,0,0,0,0,2022-01-13 21:50:16+00:00
1636,0,1,0,0,0,0,2022-01-13 22:57:02+00:00
1635,0,0,0,0,0,1,2022-01-14 17:24:18+00:00
1634,1,0,0,0,0,0,2022-01-14 17:59:19+00:00
1633,0,1,0,0,0,0,2022-01-15 12:43:10+00:00
1632,0,0,1,0,0,0,2022-01-15 15:54:16+00:00
1631,0,1,0,0,0,0,2022-01-15 20:16:12+00:00
1630,0,0,0,0,0,1,2022-01-16 12:12:59+00:00
1629,1,0,0,0,0,0,2022-01-16 12:14:10+00:00
1628,0,0,0,0,0,1,2022-01-16 12:15:10+00:00
1627,0,0,1,0,0,0,2022-01-16 12:16:57+00:00
1626,0,1,0,0,0,0,2022-01-16 13:13:34+00:00
1625,1,0,0,0,0,0,2022-01-16 13:15:09+00:00
1624,0,1,0,0,0,0,2022-01-16 13:28:04+00:00
1623,0,1,0,0,0,0,2022-01-16 13:49:45+00:00
1622,0,1,0,0,0,0,2022-01-16 13:51:06+00:00
1621,0,0,0,0,0,1,2022-01-16 13:51:12+00:00
1620,0,0,0,0,0,1,2022-01-16 13:52:16+00:00
1619,0,0,0,0,0,1,2022-01-16 13:56:01+00:00
1618,1,0,0,0,0,0,2022-01-16 13:56:51+00:00
1617,0,1,0,0,0,0,2022-01-16 13:57:53+00:00
1616,1,0,0,0,0,0,2022-01-16 13:58:10+00:00
1615,0,0,0,0,0,1,2022-01-16 13:59:09+00:00
1614,0,0,0,1,0,0,2022-01-16 13:59:39+00:00
1613,1,0,0,0,0,0,2022-01-16 14:05:45+00:00
1612,0,1,0,0,0,0,2022-01-16 14:09:22+00:00
1611,0,0,0,0,0,1,2022-01-16 14:10:04+00:00
1610,1,0,0,0,0,0,2022-01-16 14:10:27+00:00
1609,1,0,0,0,0,0,2022-01-16 14:15:46+00:00
1608,0,0,1,0,0,0,2022-01-16 14:17:19+00:00
1607,0,0,1,0,0,0,2022-01-16 14:17:54+00:00
1606,0,1,0,0,0,0,2022-01-16 14:21:07+00:00
1605,0,1,0,0,0,0,2022-01-16 14:21:13+00:00
1604,0,0,0,0,0,1,2022-01-16 14:21:45+00:00
1603,1,0,0,0,0,0,2022-01-16 14:24:36+00:00
1602,0,0,1,0,0,0,2022-01-16 14:25:08+00:00
1601,0,1,0,0,0,0,2022-01-16 14:26:30+00:00
