,ecologie,economie,education,immigration,sante,securite_defense,date
4614,0,0,1,0,0,0,2022-01-01 17:50:55+00:00
4613,0,1,0,0,0,0,2022-01-01 20:24:42+00:00
4612,1,0,0,0,0,0,2022-01-01 22:04:17+00:00
4611,0,0,0,1,0,0,2022-01-02 08:50:09+00:00
4610,0,1,0,0,0,0,2022-01-02 08:51:44+00:00
4609,0,0,0,0,0,1,2022-01-02 20:40:20+00:00
4608,0,0,0,0,0,1,2022-01-03 09:02:47+00:00
4607,0,0,0,0,0,1,2022-01-03 12:18:07+00:00
4606,0,0,0,0,0,1,2022-01-03 13:30:49+00:00
4605,0,0,1,0,0,0,2022-01-03 16:48:55+00:00
4604,0,0,1,0,0,0,2022-01-03 18:45:41+00:00
4603,0,0,1,0,0,0,2022-01-03 19:34:33+00:00
4602,1,0,0,0,0,0,2022-01-03 21:35:17+00:00
4601,0,0,0,0,0,1,2022-01-03 22:11:23+00:00
4600,0,1,0,0,0,0,2022-01-04 17:33:16+00:00
4599,0,1,0,0,0,0,2022-01-05 00:55:15+00:00
4598,1,0,0,0,0,0,2022-01-05 00:58:10+00:00
4597,1,0,0,0,0,0,2022-01-06 07:46:34+00:00
4596,0,0,0,0,0,1,2022-01-06 09:37:05+00:00
4595,0,1,0,0,0,0,2022-01-06 11:05:23+00:00
4594,0,0,0,0,0,1,2022-01-06 11:33:31+00:00
4593,1,0,0,0,0,0,2022-01-06 13:03:54+00:00
4592,0,0,0,0,0,1,2022-01-06 19:42:20+00:00
4591,0,1,0,0,0,0,2022-01-06 21:00:36+00:00
4590,0,0,1,0,0,0,2022-01-06 21:59:03+00:00
4589,0,0,0,0,0,1,2022-01-06 22:03:56+00:00
4588,0,0,1,0,0,0,2022-01-07 00:56:34+00:00
4587,0,1,0,0,0,0,2022-01-07 05:27:38+00:00
4586,0,1,0,0,0,0,2022-01-07 08:39:58+00:00
4585,0,0,0,0,0,1,2022-01-07 08:41:26+00:00
4584,0,1,0,0,0,0,2022-01-07 08:55:32+00:00
4583,0,1,0,0,0,0,2022-01-07 11:31:29+00:00
4582,0,0,0,0,0,1,2022-01-07 11:50:39+00:00
4581,0,0,0,0,0,1,2022-01-07 14:31:17+00:00
4580,1,0,0,0,0,0,2022-01-07 14:37:56+00:00
4579,0,0,0,0,1,0,2022-01-07 15:26:02+00:00
4578,0,0,0,0,0,1,2022-01-07 15:27:26+00:00
4577,0,0,0,0,0,1,2022-01-07 16:10:47+00:00
4576,1,0,0,0,0,0,2022-01-07 16:27:41+00:00
4575,0,0,1,0,0,0,2022-01-07 16:47:41+00:00
4574,1,0,0,0,0,0,2022-01-07 16:51:55+00:00
4573,0,1,0,0,0,0,2022-01-07 22:09:46+00:00
4572,0,0,0,0,0,1,2022-01-08 00:27:33+00:00
4571,0,0,0,0,0,1,2022-01-08 04:51:37+00:00
4570,0,0,0,0,0,1,2022-01-08 06:26:47+00:00
4569,0,0,1,0,0,0,2022-01-08 09:46:55+00:00
4568,0,0,0,1,0,0,2022-01-08 12:29:23+00:00
4567,1,0,0,0,0,0,2022-01-08 14:37:17+00:00
4566,1,0,0,0,0,0,2022-01-08 21:21:05+00:00
4565,0,1,0,0,0,0,2022-01-08 22:56:40+00:00
4564,1,0,0,0,0,0,2022-01-09 09:41:34+00:00
4563,0,1,0,0,0,0,2022-01-09 10:39:49+00:00
4562,0,0,0,0,0,1,2022-01-09 11:28:32+00:00
4561,0,0,0,0,0,1,2022-01-09 11:28:59+00:00
4560,0,0,0,0,1,0,2022-01-09 12:48:44+00:00
4559,0,0,0,0,0,1,2022-01-09 12:51:59+00:00
4558,1,0,0,0,0,0,2022-01-09 12:57:38+00:00
4557,0,0,0,0,0,1,2022-01-09 13:32:34+00:00
4556,0,1,0,0,0,0,2022-01-09 14:56:26+00:00
4555,0,0,1,0,0,0,2022-01-09 15:00:08+00:00
4554,0,0,0,0,0,1,2022-01-09 15:43:18+00:00
4553,0,1,0,0,0,0,2022-01-09 15:45:38+00:00
4552,0,0,0,0,0,1,2022-01-09 16:05:23+00:00
4551,0,0,0,0,0,1,2022-01-09 16:37:01+00:00
4550,0,0,1,0,0,0,2022-01-09 16:37:14+00:00
4549,0,0,0,0,0,1,2022-01-09 17:02:05+00:00
4548,0,0,1,0,0,0,2022-01-09 17:02:26+00:00
4547,1,0,0,0,0,0,2022-01-09 17:15:00+00:00
4546,0,0,0,0,0,1,2022-01-09 17:20:23+00:00
4545,1,0,0,0,0,0,2022-01-09 17:35:35+00:00
4544,0,0,0,0,0,1,2022-01-09 17:43:05+00:00
4543,1,0,0,0,0,0,2022-01-09 18:00:08+00:00
4542,0,0,0,1,0,0,2022-01-09 18:03:16+00:00
4541,0,0,0,0,0,1,2022-01-09 18:09:12+00:00
